time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4199,4,-0.34,-170.79,21.39,-27.77,0,-0.04,0.37,-0.49
4218,4,-0.33,-170.94,21.38,-27.75,0,-0.04,0.37,-0.49
4241,4,-0.37,-171.09,21.39,-27.75,0,-0.04,0.37,-0.49
4261,4,-0.4,-171.14,21.38,-27.77,0,-0.04,0.37,-0.49
4280,4,-0.37,-171.05,21.39,-27.76,0,-0.05,0.37,-0.49
4301,4,-0.4,-170.9,21.4,-27.73,0,-0.05,0.37,-0.48
4320,4,-0.42,-170.68,21.39,-27.76,0,-0.06,0.37,-0.49
4341,4,-0.37,-170.47,21.39,-27.82,0,-0.06,0.37,-0.49
4361,4,-0.32,-170.5,21.4,-27.85,0,-0.06,0.37,-0.49
4380,4,-0.4,-170.77,21.4,-27.8,0,-0.06,0.37,-0.49
4401,4,-0.53,-171.09,21.41,-27.72,0.01,-0.05,0.37,-0.48
4420,4,-0.58,-171.19,21.41,-27.7,0.01,-0.05,0.37,-0.48
4442,4,-0.53,-171.02,21.41,-27.75,0.01,-0.06,0.37,-0.49
4463,4,-0.44,-170.84,21.4,-27.77,0,-0.06,0.37,-0.49
4482,4,-0.43,-170.93,21.41,-27.76,0,-0.06,0.37,-0.49
4504,4,-0.52,-171.13,21.42,-27.72,0.01,-0.06,0.37,-0.48
4523,4,-0.59,-171.28,21.41,-27.69,0.01,-0.06,0.37,-0.48
4545,4,-0.52,-171.25,21.41,-27.7,0.01,-0.06,0.37,-0.48
4567,4,-0.47,-171.17,21.41,-27.71,0.01,-0.06,0.37,-0.48
4588,4,-0.5,-171.1,21.41,-27.74,0.01,-0.06,0.37,-0.49
4607,4,-0.56,-171.03,21.42,-27.74,0.01,-0.07,0.37,-0.49
4629,4,-0.55,-171.03,21.42,-27.73,0.01,-0.07,0.37,-0.49
4648,4,-0.52,-171.08,21.41,-27.72,0.01,-0.07,0.37,-0.48
4670,4,-0.52,-171.17,21.41,-27.71,0.01,-0.07,0.37,-0.48
4693,4,-0.52,-171.24,21.41,-27.69,0.01,-0.07,0.37,-0.48
4713,4,-0.51,-171.24,21.41,-27.69,0.01,-0.07,0.37,-0.48
4731,4,-0.52,-171.19,21.42,-27.71,0.01,-0.07,0.37,-0.48
4754,4,-0.56,-171.18,21.41,-27.7,0.01,-0.07,0.37,-0.48
4772,4,-0.54,-171.23,21.41,-27.69,0.01,-0.07,0.37,-0.48
4795,4,-0.5,-171.31,21.41,-27.69,0.01,-0.07,0.37,-0.48
4815,4,-0.48,-171.35,21.41,-27.69,0.01,-0.07,0.37,-0.48
4833,4,-0.53,-171.32,21.42,-27.71,0.01,-0.07,0.37,-0.48
4855,4,-0.55,-171.26,21.42,-27.71,0.01,-0.07,0.37,-0.48
4875,4,-0.52,-171.21,21.41,-27.7,0.01,-0.07,0.37,-0.48
4896,4,-0.49,-171.22,21.42,-27.7,0.01,-0.07,0.37,-0.48
4918,4,-0.5,-171.25,21.41,-27.69,0.01,-0.07,0.37,-0.48
4940,4,-0.51,-171.29,21.42,-27.7,0.01,-0.07,0.37,-0.48
4963,4,-0.51,-171.3,21.41,-27.69,0.01,-0.07,0.37,-0.48
4982,4,-0.52,-171.3,21.41,-27.69,0.01,-0.07,0.37,-0.48
5005,4,-0.51,-171.31,21.41,-27.69,0.01,-0.07,0.37,-0.48
5024,4,-0.49,-171.33,21.41,-27.69,0.01,-0.07,0.37,-0.48
5046,4,-0.49,-171.37,21.41,-27.69,0.01,-0.07,0.37,-0.48
5066,4,-0.52,-171.37,21.41,-27.69,0.01,-0.07,0.37,-0.48
5086,4,-0.53,-171.33,21.42,-27.7,0.01,-0.07,0.37,-0.48
5106,4,-0.5,-171.29,21.41,-27.7,0.01,-0.08,0.37,-0.48
5125,4,-0.49,-171.29,21.41,-27.69,0.01,-0.08,0.37,-0.48
5147,4,-0.51,-171.35,21.41,-27.69,0.01,-0.07,0.37,-0.48
5168,4,-0.52,-171.38,21.41,-27.68,0.01,-0.07,0.37,-0.48
5190,4,-0.52,-171.37,21.41,-27.68,0.01,-0.07,0.37,-0.48
5209,4,-0.51,-171.36,21.42,-27.68,0.01,-0.08,0.37,-0.48
5232,4,-0.51,-171.36,21.41,-27.68,0.01,-0.08,0.37,-0.48
5251,4,-0.51,-171.38,21.42,-27.69,0.01,-0.08,0.37,-0.48
5272,4,-0.52,-171.39,21.41,-27.68,0.01,-0.08,0.37,-0.48
5295,4,-0.53,-171.4,21.41,-27.68,0.01,-0.08,0.37,-0.48
5315,4,-0.51,-171.4,21.42,-27.68,0.01,-0.08,0.37,-0.48
5335,4,-0.51,-171.39,21.41,-27.68,0.01,-0.08,0.37,-0.48
5355,4,-0.51,-171.37,21.41,-27.68,0.01,-0.08,0.37,-0.48
5374,4,-0.51,-171.37,21.41,-27.68,0.01,-0.08,0.37,-0.48
5397,4,-0.52,-171.36,21.41,-27.68,0.01,-0.08,0.37,-0.48
5417,4,-0.53,-171.35,21.41,-27.68,0.01,-0.08,0.37,-0.48
5437,4,-0.54,-171.34,21.42,-27.68,0.01,-0.08,0.37,-0.48
5457,4,-0.53,-171.33,21.41,-27.68,0.01,-0.08,0.37,-0.48
5476,4,-0.53,-171.32,21.41,-27.68,0.01,-0.08,0.37,-0.48
5496,4,-0.53,-171.32,21.42,-27.68,0.01,-0.08,0.37,-0.48
5517,4,-0.54,-171.31,21.42,-27.68,0.01,-0.08,0.37,-0.48
5537,4,-0.55,-171.3,21.41,-27.68,0.01,-0.08,0.37,-0.48
5557,4,-0.55,-171.31,21.41,-27.68,0.01,-0.08,0.37,-0.48
5576,4,-0.54,-171.31,21.41,-27.68,0.01,-0.08,0.37,-0.48
5598,4,-0.54,-171.31,21.42,-27.69,0.01,-0.08,0.37,-0.48
5618,4,-0.55,-171.3,21.41,-27.68,0.01,-0.08,0.37,-0.48
5638,4,-0.56,-171.29,21.41,-27.68,0.01,-0.08,0.37,-0.48
5660,4,-0.56,-171.28,21.41,-27.68,0.01,-0.08,0.37,-0.48
5681,4,-0.56,-171.28,21.41,-27.68,0.01,-0.08,0.37,-0.48
5700,4,-0.56,-171.28,21.41,-27.68,0.01,-0.08,0.37,-0.48
5721,4,-0.56,-171.29,21.41,-27.68,0.01,-0.08,0.37,-0.48
5740,4,-0.57,-171.28,21.42,-27.67,0.01,-0.08,0.37,-0.48
5762,4,-0.57,-171.27,21.41,-27.67,0.01,-0.08,0.37,-0.48
5785,4,-0.57,-171.27,21.42,-27.68,0.01,-0.08,0.37,-0.48
5805,4,-0.57,-171.26,21.41,-27.68,0.01,-0.08,0.37,-0.48
5823,4,-0.57,-171.27,21.41,-27.68,0.01,-0.08,0.37,-0.48
5846,4,-0.57,-171.26,21.42,-27.67,0.01,-0.08,0.37,-0.48
5866,4,-0.58,-171.26,21.41,-27.68,0.01,-0.08,0.37,-0.48
5886,4,-0.58,-171.25,21.41,-27.68,0.01,-0.08,0.37,-0.48
5905,4,-0.58,-171.26,21.41,-27.67,0.01,-0.08,0.37,-0.48
5925,4,-0.58,-171.26,21.41,-27.67,0.01,-0.08,0.37,-0.48
5948,4,-0.58,-171.26,21.41,-27.68,0.01,-0.08,0.37,-0.48
5968,4,-0.59,-171.25,21.41,-27.68,0.01,-0.08,0.37,-0.48
5988,4,-0.59,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6008,4,-0.59,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6028,4,-0.59,-171.25,21.42,-27.67,0.01,-0.08,0.37,-0.48
6048,4,-0.59,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6068,4,-0.59,-171.24,21.41,-27.67,0.01,-0.08,0.37,-0.48
6088,4,-0.6,-171.23,21.41,-27.67,0.01,-0.08,0.37,-0.48
6108,4,-0.6,-171.23,21.41,-27.68,0.01,-0.08,0.37,-0.48
6126,4,-0.6,-171.24,21.41,-27.68,0.01,-0.08,0.37,-0.48
6149,4,-0.6,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6169,4,-0.6,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6189,4,-0.6,-171.24,21.41,-27.67,0.01,-0.08,0.37,-0.48
6208,4,-0.6,-171.24,21.41,-27.67,0.01,-0.08,0.37,-0.48
6229,4,-0.6,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6249,4,-0.6,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6268,4,-0.6,-171.25,21.41,-27.67,0.01,-0.08,0.37,-0.48
6289,4,-0.6,-171.24,21.41,-27.67,0.01,-0.08,0.37,-0.48
6309,4,-0.61,-171.23,21.41,-27.67,0.01,-0.08,0.37,-0.48
6329,4,-0.61,-171.23,21.41,-27.67,0.01,-0.08,0.37,-0.48
6349,4,-0.61,-171.23,21.41,-27.67,0.01,-0.08,0.37,-0.48
6368,4,-0.61,-171.23,21.41,-27.67,0.01,-0.08,0.37,-0.48
6389,4,-0.61,-171.23,21.41,-27.67,0.01,-0.08,0.37,-0.48
6409,4,-0.61,-171.23,21.41,-27.64,0.01,-0.08,0.37,-0.48
6427,4,-0.6,-171.21,21.41,-27.63,0.01,-0.08,0.37,-0.48
6450,4,-0.55,-171.12,21.4,-27.64,0.01,-0.09,0.37,-0.48
6471,4,-0.5,-171.1,21.4,-27.66,0.01,-0.09,0.37,-0.48
6491,4,-0.46,-171.05,21.4,-27.69,0.01,-0.09,0.37,-0.48
6511,4,-0.43,-171.11,21.4,-27.7,0,-0.09,0.37,-0.48
6530,4,-0.41,-171.28,21.4,-27.7,0,-0.08,0.37,-0.48
6551,4,-0.4,-171.53,21.4,-27.67,0,-0.08,0.37,-0.48
6571,4,-0.45,-171.79,21.4,-27.64,0.01,-0.07,0.37,-0.48
6590,4,-0.49,-171.95,21.4,-27.61,0.01,-0.07,0.37,-0.48
6611,4,-0.48,-171.9,21.4,-27.62,0.01,-0.07,0.37,-0.48
6630,4,-0.47,-171.74,21.39,-27.67,0.01,-0.07,0.37,-0.48
6652,4,-0.43,-171.52,21.4,-27.64,0,-0.08,0.37,-0.48
6673,4,-0.47,-171.5,21.4,-27.58,0.01,-0.08,0.37,-0.48
6695,4,-0.5,-171.48,21.4,-27.58,0.01,-0.08,0.37,-0.48
6714,4,-0.46,-171.33,21.39,-27.59,0.01,-0.08,0.37,-0.48
6736,4,-0.37,-171.28,21.38,-27.65,0,-0.08,0.37,-0.48
6755,4,-0.32,-171.33,21.39,-27.69,0,-0.08,0.37,-0.48
6777,4,-0.36,-171.65,21.4,-27.65,0,-0.08,0.37,-0.48
6798,4,-0.47,-172.09,21.4,-27.53,0.01,-0.07,0.37,-0.48
6818,4,-0.53,-172.44,21.4,-27.46,0.01,-0.06,0.37,-0.48
6837,4,-0.48,-172.45,21.39,-27.49,0.01,-0.06,0.37,-0.48
6857,4,-0.36,-172.25,21.38,-27.56,0,-0.06,0.37,-0.48
6876,4,-0.25,-172.11,21.37,-27.63,0,-0.07,0.37,-0.48
6899,4,-0.25,-172.16,21.39,-27.56,0,-0.07,0.37,-0.48
6919,4,-0.38,-172.31,21.4,-27.51,0,-0.06,0.37,-0.48
6938,4,-0.49,-172.43,21.4,-27.5,0.01,-0.06,0.37,-0.48
6960,4,-0.5,-172.3,21.39,-27.57,0.01,-0.06,0.37,-0.48
6979,4,-0.41,-172.17,21.39,-27.6,0,-0.07,0.37,-0.48
7002,4,-0.37,-172.11,21.4,-27.59,0,-0.07,0.37,-0.48
7021,4,-0.43,-172.17,21.41,-27.58,0,-0.07,0.37,-0.48
7041,4,-0.53,-172.22,21.4,-27.55,0.01,-0.06,0.37,-0.48
7063,4,-0.54,-172.2,21.4,-27.58,0.01,-0.06,0.37,-0.48
7084,4,-0.44,-172.08,21.39,-27.59,0,-0.07,0.37,-0.48
7106,4,-0.42,-171.98,21.4,-27.62,0,-0.07,0.37,-0.48
7128,4,-0.47,-171.95,21.4,-27.61,0.01,-0.07,0.37,-0.48
7149,4,-0.52,-171.98,21.4,-27.58,0.01,-0.07,0.37,-0.48
7169,4,-0.48,-172.02,21.4,-27.59,0.01,-0.07,0.37,-0.48
7188,4,-0.42,-172,21.39,-27.6,0,-0.07,0.37,-0.48
7209,4,-0.38,-171.95,21.4,-27.61,0,-0.07,0.37,-0.48
7228,4,-0.42,-171.88,21.4,-27.62,0,-0.07,0.37,-0.48
7251,4,-0.48,-171.9,21.41,-27.61,0.01,-0.07,0.37,-0.48
7271,4,-0.5,-171.98,21.4,-27.58,0.01,-0.07,0.37,-0.48
7290,4,-0.48,-172.08,21.4,-27.54,0.01,-0.07,0.37,-0.48
7310,4,-0.41,-172.1,21.39,-27.53,0,-0.07,0.37,-0.48
7329,4,-0.36,-172.03,21.39,-27.58,0,-0.07,0.37,-0.48
7353,4,-0.36,-171.96,21.4,-27.61,0,-0.07,0.37,-0.48
7373,4,-0.42,-171.98,21.41,-27.6,0,-0.07,0.37,-0.48
7392,4,-0.51,-172.12,21.41,-27.53,0.01,-0.07,0.37,-0.48
7414,4,-0.52,-172.35,21.4,-27.51,0.01,-0.06,0.37,-0.48
7433,4,-0.46,-172.47,21.39,-27.5,0.01,-0.06,0.37,-0.48
7455,4,-0.36,-172.38,21.39,-27.55,0,-0.06,0.37,-0.48
7477,4,-0.38,-172.27,21.39,-27.61,0,-0.06,0.37,-0.48
7499,4,-0.46,-172.23,21.4,-27.59,0.01,-0.06,0.37,-0.48
7520,4,-0.52,-172.29,21.4,-27.59,0.01,-0.06,0.37,-0.48
7539,4,-0.48,-172.33,21.4,-27.56,0.01,-0.06,0.37,-0.48
7562,4,-0.41,-172.29,21.4,-27.58,0,-0.06,0.37,-0.48
7581,4,-0.38,-172.15,21.4,-27.6,0,-0.07,0.37,-0.48
7604,4,-0.42,-171.98,21.4,-27.63,0,-0.07,0.37,-0.48
7624,4,-0.46,-171.82,21.4,-27.63,0.01,-0.07,0.37,-0.48
7644,4,-0.45,-171.81,21.4,-27.61,0.01,-0.07,0.37,-0.48
7664,4,-0.43,-171.93,21.4,-27.58,0,-0.07,0.37,-0.48
7682,4,-0.43,-172.09,21.4,-27.56,0,-0.07,0.37,-0.48
7704,4,-0.44,-172.15,21.4,-27.55,0,-0.07,0.37,-0.48
7725,4,-0.42,-172.14,21.4,-27.59,0,-0.07,0.37,-0.48
7745,4,-0.41,-172.06,21.4,-27.6,0,-0.07,0.37,-0.48
7765,4,-0.45,-172,21.4,-27.6,0,-0.07,0.37,-0.48
7784,4,-0.45,-172.08,21.4,-27.6,0,-0.07,0.37,-0.48
7805,4,-0.4,-172.18,21.4,-27.56,0,-0.07,0.37,-0.48
7827,4,-0.41,-172.14,21.4,-27.59,0,-0.07,0.37,-0.48
7849,4,-0.44,-172.06,21.4,-27.6,0,-0.07,0.37,-0.48
7872,4,-0.42,-171.98,21.4,-27.61,0,-0.07,0.37,-0.48
7890,4,-0.39,-171.94,21.4,-27.61,0,-0.07,0.37,-0.48
7913,4,-0.41,-171.96,21.4,-27.61,0,-0.07,0.37,-0.48
7931,4,-0.46,-172.04,21.4,-27.61,0.01,-0.07,0.37,-0.48
7954,4,-0.44,-172.08,21.4,-27.6,0,-0.07,0.37,-0.48
7974,4,-0.4,-172.07,21.4,-27.61,0,-0.07,0.37,-0.48
7993,4,-0.43,-172.04,21.41,-27.59,0,-0.07,0.37,-0.48
8015,4,-0.48,-172.07,21.4,-27.58,0.01,-0.07,0.37,-0.48
8034,4,-0.46,-172.09,21.4,-27.6,0.01,-0.07,0.37,-0.48
8056,4,-0.37,-172.05,21.4,-27.61,0,-0.07,0.37,-0.48
8076,4,-0.37,-172.04,21.4,-27.61,0,-0.07,0.37,-0.48
8098,4,-0.47,-172.03,21.4,-27.6,0.01,-0.07,0.37,-0.48
8119,4,-0.49,-172.05,21.4,-27.6,0.01,-0.07,0.37,-0.48
8141,4,-0.42,-172.07,21.4,-27.6,0,-0.07,0.37,-0.48
8164,4,-0.38,-172.08,21.4,-27.59,0,-0.07,0.37,-0.48
8183,4,-0.42,-172.04,21.4,-27.6,0,-0.07,0.37,-0.48
8205,4,-0.46,-172,21.4,-27.62,0.01,-0.07,0.37,-0.48
8225,4,-0.44,-172.02,21.4,-27.63,0,-0.07,0.37,-0.48
8244,4,-0.39,-172.09,21.4,-27.63,0,-0.07,0.37,-0.48
8266,4,-0.41,-172.17,21.41,-27.6,0,-0.07,0.37,-0.48
8285,4,-0.51,-172.25,21.42,-27.55,0.01,-0.06,0.37,-0.48
8307,4,-0.53,-172.1,21.41,-27.56,0.01,-0.07,0.37,-0.48
8329,4,-0.45,-171.93,21.4,-27.63,0,-0.07,0.37,-0.48
8351,4,-0.4,-171.88,21.41,-27.67,0,-0.07,0.37,-0.48
8374,4,-0.47,-171.99,21.42,-27.62,0.01,-0.07,0.37,-0.48
8393,4,-0.59,-172.22,21.42,-27.56,0.01,-0.06,0.37,-0.48
8416,4,-0.62,-172.32,21.41,-27.55,0.01,-0.06,0.37,-0.48
8435,4,-0.54,-172.3,21.41,-27.57,0.01,-0.06,0.37,-0.48
8457,4,-0.45,-172.2,21.4,-27.61,0,-0.06,0.37,-0.48
8479,4,-0.46,-172.16,21.41,-27.63,0.01,-0.07,0.37,-0.48
8500,4,-0.55,-172.21,21.41,-27.58,0.01,-0.06,0.37,-0.48
8523,4,-0.55,-172.23,21.41,-27.57,0.01,-0.06,0.37,-0.48
8542,4,-0.46,-172.14,21.41,-27.59,0.01,-0.07,0.37,-0.48
8565,4,-0.43,-172.06,21.41,-27.63,0,-0.07,0.37,-0.48
8584,4,-0.47,-172.02,21.41,-27.64,0.01,-0.07,0.37,-0.48
8606,4,-0.54,-172.07,21.42,-27.62,0.01,-0.07,0.37,-0.48
8626,4,-0.57,-172.1,21.41,-27.6,0.01,-0.07,0.37,-0.48
8644,4,-0.54,-172.09,21.41,-27.62,0.01,-0.07,0.37,-0.48
8667,4,-0.47,-172.04,21.41,-27.62,0.01,-0.07,0.37,-0.48
8685,4,-0.47,-172.01,21.42,-27.62,0.01,-0.07,0.37,-0.48
8708,4,-0.53,-171.99,21.41,-27.63,0.01,-0.07,0.37,-0.48
8728,4,-0.54,-172.01,21.41,-27.63,0.01,-0.07,0.37,-0.48
8748,4,-0.52,-172.03,21.41,-27.63,0.01,-0.07,0.37,-0.48
8768,4,-0.5,-172.05,21.41,-27.61,0.01,-0.07,0.37,-0.48
8788,4,-0.52,-172.08,21.42,-27.59,0.01,-0.07,0.37,-0.48
8808,4,-0.52,-172.08,21.41,-27.6,0.01,-0.07,0.37,-0.48
8828,4,-0.47,-172.03,21.41,-27.64,0.01,-0.07,0.37,-0.48
8846,4,-0.46,-172.03,21.41,-27.65,0.01,-0.07,0.37,-0.48
8869,4,-0.53,-172.08,21.42,-27.62,0.01,-0.07,0.37,-0.48
8888,4,-0.59,-172.15,21.42,-27.59,0.01,-0.07,0.37,-0.48
8909,4,-0.5,-172.13,21.41,-27.59,0.01,-0.07,0.37,-0.48
8931,4,-0.42,-172.03,21.41,-27.63,0,-0.07,0.37,-0.48
8953,4,-0.42,-171.96,21.41,-27.67,0,-0.07,0.37,-0.48
8973,4,-0.5,-171.98,21.41,-27.66,0.01,-0.07,0.37,-0.48
8992,4,-0.55,-172.07,21.42,-27.62,0.01,-0.07,0.37,-0.48
9016,4,-0.52,-172.13,21.41,-27.62,0.01,-0.07,0.37,-0.48
9035,4,-0.45,-172.1,21.41,-27.63,0.01,-0.07,0.37,-0.48
9057,4,-0.44,-172.03,21.41,-27.63,0,-0.07,0.37,-0.48
9077,4,-0.49,-171.94,21.41,-27.65,0.01,-0.07,0.37,-0.48
9097,4,-0.51,-171.89,21.41,-27.65,0.01,-0.07,0.37,-0.48
9117,4,-0.48,-171.95,21.41,-27.65,0.01,-0.07,0.37,-0.48
9136,4,-0.46,-172.09,21.41,-27.63,0.01,-0.07,0.37,-0.48
9159,4,-0.49,-172.19,21.41,-27.6,0.01,-0.06,0.37,-0.48
9179,4,-0.49,-172.18,21.41,-27.6,0.01,-0.07,0.37,-0.48
9197,4,-0.46,-172.06,21.41,-27.65,0.01,-0.07,0.37,-0.48
9219,4,-0.46,-171.95,21.41,-27.65,0.01,-0.07,0.37,-0.48
9238,4,-0.52,-171.96,21.41,-27.66,0.01,-0.07,0.37,-0.48
9260,4,-0.56,-172.14,21.41,-27.59,0.01,-0.07,0.37,-0.48
9280,4,-0.54,-172.18,21.41,-27.59,0.01,-0.07,0.37,-0.48
9301,4,-0.4,-172.15,21.4,-27.64,0,-0.07,0.37,-0.48
9323,4,-0.38,-172.13,21.41,-27.63,0,-0.07,0.37,-0.48
9342,4,-0.46,-172.18,21.41,-27.62,0.01,-0.07,0.37,-0.48
9365,4,-0.53,-172.29,21.41,-27.59,0.01,-0.06,0.37,-0.48
9384,4,-0.5,-172.42,21.41,-27.56,0.01,-0.06,0.37,-0.48
9407,4,-0.44,-172.58,21.41,-27.55,0,-0.06,0.37,-0.48
9427,4,-0.46,-172.75,21.41,-27.54,0.01,-0.05,0.37,-0.48
9445,4,-0.53,-172.94,21.41,-27.51,0.01,-0.05,0.37,-0.48
9468,4,-0.55,-173.11,21.41,-27.49,0.01,-0.05,0.37,-0.48
9487,4,-0.49,-173.23,21.41,-27.47,0.01,-0.04,0.37,-0.48
9510,4,-0.47,-173.33,21.41,-27.47,0.01,-0.04,0.37,-0.48
9530,4,-0.52,-173.43,21.41,-27.45,0.01,-0.04,0.37,-0.48
9550,4,-0.53,-173.54,21.41,-27.41,0.01,-0.04,0.37,-0.48
9570,4,-0.48,-173.68,21.41,-27.39,0.01,-0.04,0.37,-0.48
9589,4,-0.43,-173.87,21.41,-27.38,0,-0.03,0.37,-0.48
9611,4,-0.48,-174.27,21.41,-27.32,0.01,-0.02,0.37,-0.48
9631,4,-0.5,-174.43,21.41,-27.25,0.01,-0.02,0.37,-0.48
9652,4,-0.5,-175.04,21.4,-27.17,0.01,-0.01,0.37,-0.47
9674,4,-0.45,-175.41,21.4,-27.18,0.01,0,0.37,-0.47
9695,4,-0.41,-175.68,21.4,-27.19,0,0,0.37,-0.47
9718,4,-0.46,-175.87,21.41,-27.15,0.01,0.01,0.37,-0.47
9736,4,-0.55,-176.03,21.4,-27.14,0.01,0.01,0.37,-0.47
9759,4,-0.54,-176.02,21.4,-27.13,0.01,0.01,0.37,-0.47
9779,4,-0.47,-175.82,21.4,-27.18,0.01,0.01,0.37,-0.47
9798,4,-0.42,-175.47,21.4,-27.23,0,0,0.37,-0.48
9821,4,-0.43,-175.16,21.41,-27.28,0,-0.01,0.37,-0.48
9840,4,-0.49,-174.94,21.4,-27.29,0.01,-0.01,0.37,-0.48
9862,4,-0.5,-174.83,21.4,-27.26,0.01,-0.01,0.37,-0.48
9882,4,-0.44,-174.8,21.4,-27.28,0,-0.01,0.37,-0.48
9902,4,-0.4,-174.75,21.4,-27.31,0,-0.01,0.37,-0.48
9922,4,-0.42,-174.73,21.4,-27.32,0,-0.01,0.37,-0.48
9941,4,-0.47,-174.72,21.4,-27.31,0.01,-0.01,0.37,-0.48
9963,4,-0.43,-174.67,21.4,-27.32,0,-0.02,0.37,-0.48
9985,4,-0.39,-174.59,21.4,-27.36,0,-0.02,0.37,-0.48
10008,4,-0.43,-174.53,21.41,-27.33,0,-0.02,0.37,-0.48
10027,4,-0.49,-174.45,21.41,-27.32,0.01,-0.02,0.37,-0.48
10046,4,-0.47,-174.33,21.4,-27.34,0.01,-0.02,0.37,-0.48
10069,4,-0.38,-174.18,21.4,-27.39,0,-0.03,0.37,-0.48
10088,4,-0.37,-174.1,21.41,-27.42,0,-0.03,0.37,-0.48
10108,4,-0.44,-174.11,21.41,-27.4,0,-0.03,0.37,-0.48
10129,4,-0.5,-174.14,21.41,-27.37,0.01,-0.03,0.37,-0.48
10148,4,-0.48,-174.11,21.4,-27.37,0.01,-0.03,0.37,-0.48
10171,4,-0.39,-174.01,21.4,-27.43,0,-0.03,0.37,-0.48
10189,4,-0.34,-173.9,21.4,-27.46,0,-0.03,0.37,-0.48
10212,4,-0.39,-173.87,21.41,-27.42,0,-0.03,0.37,-0.48
10232,4,-0.48,-173.85,21.41,-27.41,0.01,-0.03,0.37,-0.48
10251,4,-0.48,-173.77,21.4,-27.42,0.01,-0.03,0.37,-0.48
10273,4,-0.4,-173.64,21.4,-27.47,0,-0.04,0.37,-0.48
10291,4,-0.36,-173.57,21.41,-27.48,0,-0.04,0.37,-0.48
10313,4,-0.41,-173.56,21.41,-27.46,0,-0.04,0.37,-0.48
10333,4,-0.47,-173.55,21.4,-27.47,0.01,-0.04,0.37,-0.48
10353,4,-0.44,-173.5,21.4,-27.47,0,-0.04,0.37,-0.48
10373,4,-0.38,-173.48,21.41,-27.47,0,-0.04,0.37,-0.48
10393,4,-0.4,-173.49,21.41,-27.47,0,-0.04,0.37,-0.48
10414,4,-0.45,-173.46,21.41,-27.47,0.01,-0.04,0.37,-0.48
10436,4,-0.39,-173.4,21.4,-27.52,0,-0.04,0.37,-0.48
10458,4,-0.36,-173.36,21.41,-27.54,0,-0.04,0.37,-0.48
10478,4,-0.42,-173.38,21.42,-27.52,0,-0.04,0.37,-0.48
10499,4,-0.53,-173.4,21.41,-27.47,0.01,-0.04,0.37,-0.48
10522,4,-0.53,-173.31,21.41,-27.53,0.01,-0.04,0.37,-0.48
10540,4,-0.45,-173.1,21.41,-27.57,0.01,-0.05,0.37,-0.48
10563,4,-0.41,-172.96,21.41,-27.58,0,-0.05,0.37,-0.48
10584,4,-0.46,-172.86,21.42,-27.59,0.01,-0.05,0.37,-0.48
10602,4,-0.53,-172.83,21.41,-27.57,0.01,-0.05,0.37,-0.48
10624,4,-0.51,-172.79,21.41,-27.6,0.01,-0.05,0.37,-0.48
10643,4,-0.43,-172.74,21.41,-27.59,0,-0.05,0.37,-0.48
10665,4,-0.43,-172.72,21.41,-27.58,0,-0.05,0.37,-0.48
10686,4,-0.51,-172.69,21.41,-27.61,0.01,-0.05,0.37,-0.48
10709,4,-0.5,-172.64,21.41,-27.61,0.01,-0.06,0.37,-0.48
10729,4,-0.45,-172.65,21.41,-27.62,0,-0.06,0.37,-0.48
10748,4,-0.46,-172.69,21.42,-27.6,0.01,-0.05,0.37,-0.48
10771,4,-0.53,-172.73,21.41,-27.61,0.01,-0.05,0.37,-0.48
10789,4,-0.5,-172.68,21.41,-27.61,0.01,-0.06,0.37,-0.48
10812,4,-0.43,-172.58,21.41,-27.63,0,-0.06,0.37,-0.48
10832,4,-0.43,-172.47,21.42,-27.64,0,-0.06,0.37,-0.48
10851,4,-0.49,-172.45,21.42,-27.6,0.01,-0.06,0.37,-0.48
10873,4,-0.51,-172.48,21.41,-27.62,0.01,-0.06,0.37,-0.48
10893,4,-0.43,-172.46,21.4,-27.67,0,-0.06,0.37,-0.48
10915,4,-0.33,-172.45,21.41,-27.66,0,-0.06,0.37,-0.48
10936,4,-0.39,-172.49,21.42,-27.65,0,-0.06,0.37,-0.48
10958,4,-0.49,-172.54,21.41,-27.61,0.01,-0.06,0.37,-0.48
10977,4,-0.49,-172.5,21.41,-27.63,0.01,-0.06,0.37,-0.48
10999,4,-0.39,-172.37,21.41,-27.68,0,-0.06,0.37,-0.48
11018,4,-0.34,-172.27,21.41,-27.67,0,-0.06,0.37,-0.48
11040,4,-0.38,-172.28,21.41,-27.66,0,-0.06,0.37,-0.48
11063,4,-0.47,-172.32,21.41,-27.65,0.01,-0.06,0.37,-0.48
11083,4,-0.45,-172.34,21.41,-27.63,0.01,-0.06,0.37,-0.48
11101,4,-0.39,-172.35,21.41,-27.64,0,-0.06,0.37,-0.48
11124,4,-0.39,-172.31,21.41,-27.65,0,-0.06,0.37,-0.48
